id,timestamp,date,time,puzzle_rating,solved,time_taken
v5mHs,1745606948061,25-04-2025,20:49,1430,0,10
u4P0j,1745606948061,25-04-2025,20:49,1428,0,2
DEvck,1745606948061,25-04-2025,20:49,1404,1,8
kbRV1,1745606948061,25-04-2025,20:49,1322,1,10
SXwM8,1745606948061,25-04-2025,20:49,1319,0,3
KBhP2,1745606948061,25-04-2025,20:49,1310,1,10
Po077,1745606948061,25-04-2025,20:49,1307,0,5
AwgCS,1745606948061,25-04-2025,20:49,1296,1,5
Vz3oI,1745606948061,25-04-2025,20:49,1296,1,8
WuJIB,1745606948061,25-04-2025,20:49,1293,1,9
vCSIn,1745606948061,25-04-2025,20:49,1284,1,6
xhAxq,1745606948061,25-04-2025,20:49,1199,1,7
h9Ld2,1745606948061,25-04-2025,20:49,1183,0,3
BLUPj,1745606948061,25-04-2025,20:49,1169,0,3
8bzpD,1745606948061,25-04-2025,20:49,1163,1,4
AMs0n,1745606948061,25-04-2025,20:49,1154,1,4
ZPTzM,1745606948061,25-04-2025,20:49,1130,1,2
6U1ty,1745606948061,25-04-2025,20:49,1110,1,8
vo8E0,1745606948061,25-04-2025,20:49,983,1,6
qoc3f,1745606948061,25-04-2025,20:49,975,1,5
ywFCQ,1745606948061,25-04-2025,20:49,963,1,3
JXwRt,1745606948061,25-04-2025,20:49,959,1,2
oRiDq,1745606948061,25-04-2025,20:49,944,1,5
c9wP2,1745606948061,25-04-2025,20:49,931,1,7
Ob0v7,1745606948061,25-04-2025,20:49,921,0,0
xyJQk,1745607760154,25-04-2025,21:02,1337,0,12
A8HIH,1745607760154,25-04-2025,21:02,1323,1,5
B9hik,1745607760154,25-04-2025,21:02,1321,0,2
GfwC6,1745607760154,25-04-2025,21:02,1320,0,9
fS1Dy,1745607760154,25-04-2025,21:02,1300,0,7
9HvXT,1745607760154,25-04-2025,21:02,1295,0,8
NXsav,1745607760154,25-04-2025,21:02,1291,1,11
C4yFI,1745607760154,25-04-2025,21:02,1268,0,2
amXQp,1745607760154,25-04-2025,21:02,1180,1,7
B5uyA,1745607760154,25-04-2025,21:02,1168,1,7
2KwKy,1745607760154,25-04-2025,21:02,1143,1,7
F4LwC,1745607760154,25-04-2025,21:02,1129,1,5
yVUm9,1745607760154,25-04-2025,21:02,1119,1,6
pxOak,1745607760154,25-04-2025,21:02,1118,1,5
khd3x,1745607760154,25-04-2025,21:02,1104,0,10
WMA0j,1745607760154,25-04-2025,21:02,999,1,8
8cGvy,1745607760154,25-04-2025,21:02,995,1,7
29Ogt,1745607760155,25-04-2025,21:02,989,1,4
SNB3V,1745607760155,25-04-2025,21:02,975,1,5
zZRZv,1745607760155,25-04-2025,21:02,937,1,3
rrgtd,1745607760155,25-04-2025,21:02,932,1,5
Y6BlT,1745607760155,25-04-2025,21:02,906,1,0
XK8d2,1745608166828,25-04-2025,21:09,1456,0,13
b2mVM,1745608166829,25-04-2025,21:09,1454,0,6
ckxVU,1745608166829,25-04-2025,21:09,1444,1,4
MWFul,1745608166829,25-04-2025,21:09,1435,1,7
gaew6,1745608166829,25-04-2025,21:09,1416,1,4
NMN1v,1745608166829,25-04-2025,21:09,1363,1,12
Blmaf,1745608166829,25-04-2025,21:09,1334,1,3
sQtBH,1745608166829,25-04-2025,21:09,1328,1,4
ijXMH,1745608166829,25-04-2025,21:09,1316,1,5
g0uPA,1745608166829,25-04-2025,21:09,1310,1,6
X9cn9,1745608166829,25-04-2025,21:09,1297,0,6
fiYrj,1745608166829,25-04-2025,21:09,1292,1,6
pSUBw,1745608166829,25-04-2025,21:09,1280,1,21
llyW7,1745608166829,25-04-2025,21:09,1199,1,6
5kUvh,1745608166829,25-04-2025,21:09,1193,1,8
0tWs4,1745608166829,25-04-2025,21:09,1171,1,7
ddwMg,1745608166829,25-04-2025,21:09,1163,1,5
lVrKU,1745608166829,25-04-2025,21:09,1159,0,6
2Aqkw,1745608166829,25-04-2025,21:09,1128,1,9
o6hoV,1745608166829,25-04-2025,21:09,1119,1,4
nCMUE,1745608166829,25-04-2025,21:09,1015,1,3
1hdIW,1745608166829,25-04-2025,21:09,995,1,4
DcKn3,1745608166829,25-04-2025,21:09,993,1,4
ZMuRK,1745608166829,25-04-2025,21:09,982,1,4
pM1cF,1745608166829,25-04-2025,21:09,981,1,8
OcPCd,1745608166829,25-04-2025,21:09,945,1,6
uuz9t,1745608166829,25-04-2025,21:09,913,1,0
EkhN0,1745609447910,25-04-2025,21:30,1450,0,3
NbY2B,1745609447911,25-04-2025,21:30,1442,1,12
0kQJK,1745609447911,25-04-2025,21:30,1430,1,5
lVOMl,1745609447911,25-04-2025,21:30,1422,1,5
GYQ2M,1745609447911,25-04-2025,21:30,1421,1,3
etvv8,1745609447911,25-04-2025,21:30,1415,1,9
UOYKw,1745609447911,25-04-2025,21:30,1414,0,4
XkO3z,1745609447911,25-04-2025,21:30,1414,1,14
WzX9F,1745609447911,25-04-2025,21:30,1326,1,8
4GHd3,1745609447911,25-04-2025,21:30,1323,1,5
tVPtK,1745609447911,25-04-2025,21:30,1300,1,6
6h3F9,1745609447911,25-04-2025,21:30,1299,1,7
RkMfG,1745609447911,25-04-2025,21:30,1292,0,3
pBp3t,1745609447911,25-04-2025,21:30,1282,1,5
nfXs2,1745609447911,25-04-2025,21:30,1276,0,4
tnNky,1745609447911,25-04-2025,21:30,1265,1,6
qNBOj,1745609447911,25-04-2025,21:30,1190,1,4
UYWo1,1745609447911,25-04-2025,21:30,1188,1,6
y3UqH,1745609447911,25-04-2025,21:30,1177,1,19
yYTKh,1745609447911,25-04-2025,21:30,1170,1,3
GlEU3,1745609447911,25-04-2025,21:30,1138,1,5
2vAer,1745609447911,25-04-2025,21:30,1130,1,3
Bn4qI,1745609447911,25-04-2025,21:30,1119,1,8
RAyy4,1745609447911,25-04-2025,21:30,997,1,3
QpKg7,1745609447911,25-04-2025,21:30,990,1,5
DG3bK,1745609447911,25-04-2025,21:30,990,1,3
KC6JC,1745609447911,25-04-2025,21:30,987,1,6
cyl34,1745609447911,25-04-2025,21:30,933,1,5
MQnfu,1745609447911,25-04-2025,21:30,916,1,3
ACNBd,1745609447911,25-04-2025,21:30,906,1,0
pkfpf,1745610533104,25-04-2025,21:48,1424,0,9
3ID5L,1745610533105,25-04-2025,21:48,1416,0,18
MuV1G,1745610533105,25-04-2025,21:48,1337,1,4
Y62WY,1745610533105,25-04-2025,21:48,1336,1,7
LG2IK,1745610533105,25-04-2025,21:48,1288,0,5
pamVr,1745610533105,25-04-2025,21:48,1283,1,6
16skV,1745610533105,25-04-2025,21:48,1282,1,8
sRUiO,1745610533105,25-04-2025,21:48,1280,1,4
qWfsG,1745610533105,25-04-2025,21:48,1274,1,6
SXGfr,1745610533105,25-04-2025,21:48,1263,1,15
QCVzD,1745610533105,25-04-2025,21:48,1193,0,2
RDhaK,1745610533105,25-04-2025,21:48,1179,1,7
6Rfdw,1745610533105,25-04-2025,21:48,1176,1,2
DuAry,1745610533105,25-04-2025,21:48,1174,1,6
4WkGe,1745610533105,25-04-2025,21:48,1171,1,5
FHmZN,1745610533105,25-04-2025,21:48,1169,1,4
O5nBt,1745610533105,25-04-2025,21:48,1114,1,6
SpvTW,1745610533105,25-04-2025,21:48,996,1,3
2AHZ8,1745610533105,25-04-2025,21:48,994,1,3
VjmPN,1745610533105,25-04-2025,21:48,991,1,10
AimIx,1745610533105,25-04-2025,21:48,981,0,15
OUBuR,1745610533105,25-04-2025,21:48,968,1,6
Ewn9q,1745610533105,25-04-2025,21:48,960,1,6
FvCrJ,1745610533105,25-04-2025,21:48,932,1,0

